Student_ID,Age,Gender,Attendance,Study_Hours,Internal_Marks,Aptitude_Score,Coding_Score,Communication_Score,Project_Count,Mock_Interview_Score,CGPA,Internship,Placement_Ready,Semester,Python_Skill,SQL_Skill,ML_Basics,Certifications,Hackathons,LeetCode_Problems,GitHub_Projects,Soft_Skills,Expected_Package_LPA,CGPA_Capped
1,23,Male,56,6.2,55,58,37,43.0,5,89,5.88,No,No,4,100,54,70,5,0,37,8,46,6.06,5.88
2,18,Male,60,2.5,72,33,91,,5,89,7.35,No,No,4,77,42,84,1,0,44,6,66,6.1,7.35
3,22,Female,55,6.3,50,84,63,65.0,1,47,9.71,No,No,3,55,46,90,3,0,289,1,100,8.45,9.71
4,18,Male,79,1.7,94,74,97,63.0,6,25,8.71,Yes,Yes,3,80,42,93,4,3,25,3,42,8.45,8.71
5,21,Male,90,3.1,80,76,93,54.0,5,28,5.7,Yes,No,3,58,88,38,4,0,292,4,75,3.96,5.7
6,24,Female,60,7.0,95,42,68,65.0,3,66,6.22,No,No,3,46,59,67,0,4,32,9,43,3.3,6.22
7,19,Female,99,7.6,81,39,97,,4,51,6.22,No,No,3,71,89,60,3,4,232,5,59,4.9,6.22
8,20,Male,98,3.3,89,37,49,34.0,6,60,7.27,Yes,No,3,90,58,51,0,4,153,8,71,6.32,7.27
9,19,Female,68,5.6,65,88,38,63.0,1,51,8.78,No,No,4,86,92,56,4,0,60,8,66,8.78,8.78
10,23,Female,92,3.8,54,47,85,93.0,0,26,9.29,Yes,No,3,88,78,39,3,3,20,10,44,9.27,9.29
11,23,Male,98,4.0,44,79,68,89.0,4,52,9.77,Yes,Yes,4,61,79,96,3,4,233,1,93,8.76,9.77
12,23,Male,98,7.2,88,64,63,44.0,2,75,6.2,Yes,No,3,100,69,80,5,5,33,0,86,6.44,6.2
13,23,Female,87,6.3,72,43,100,68.0,6,84,8.18,Yes,No,4,81,92,56,5,3,342,5,41,8.06,8.18
14,20,Male,89,7.7,99,97,20,71.0,3,22,5.99,No,No,4,62,56,98,0,3,30,3,89,3.67,5.99
15,24,Female,70,1.4,96,40,30,92.0,6,28,9.8,Yes,No,4,48,66,70,3,3,41,2,68,8.28,9.8
16,19,Female,90,2.2,73,84,47,99.0,6,45,8.64,No,No,4,75,70,37,6,3,281,4,85,8.57,8.64
17,23,Female,83,7.3,68,45,51,58.0,0,63,5.59,Yes,No,4,62,83,49,1,0,90,2,54,3.39,5.59
18,22,Male,55,1.5,80,37,49,38.0,0,62,5.81,Yes,No,3,40,97,95,1,2,144,0,49,2.77,5.81
19,20,Female,68,4.8,86,90,51,90.0,6,72,6.34,Yes,No,4,74,82,98,4,2,64,11,94,5.37,6.34
20,23,Female,77,4.0,69,36,32,37.0,3,63,9.02,Yes,No,3,69,85,70,3,3,53,7,80,8.18,9.02
21,19,Male,67,,48,84,43,65.0,3,51,9.35,Yes,No,4,43,59,28,1,3,83,1,61,7.14,9.35
22,21,Male,58,5.6,74,31,31,60.0,1,72,7.64,Yes,No,3,46,35,92,1,4,51,5,79,5.21,7.64
